Level_Hierarchy	Constraint_Name	Group_Name	Previous_hierarchy	Status_previous_Hierarchy	MonophylyCorrected	Monophyletic_Constraint	PresenceDNATree	Comments
Family	Pomacanthidae	Pomacanthidae	See_Species	Species	Monophyletic	Yes	No	
Family	Soleidae	Soleidae	See_Species	Species	Monophyletic	Yes	No	
Family	Anoplogastridae	Anoplogastridae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Aulopidae	Aulopidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Barbourisiidae	Barbourisiidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Bathylagidae	Bathylagidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Bathysauridae	Bathysauridae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Centrolophidae	Centrolophidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Congridae	Congridae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Coryphaenidae	Coryphaenidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Creediidae	Creediidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Eurypharyngidae	Eurypharyngidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Girellidae	Girellidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Himantolophidae	Himantolophidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Isonidae	Isonidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Lampridae	Lampridae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Lophotidae	Lophotidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Luvaridae	Luvaridae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Monocentridae	Monocentridae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Muraenidae	Muraenidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Muraenolepididae	Muraenolepididae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Nemichthyidae	Nemichthyidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Notacanthidae	Notacanthidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Opisthoproctidae	Opisthoproctidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Oplegnathidae	Oplegnathidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Paraulopidae	Paraulopidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Parazenidae	Parazenidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Percophidae	Percophidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Saccopharyngidae	Saccopharyngidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Scombrolabracidae	Scombrolabracidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Serrivomeridae	Serrivomeridae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Setarchidae	Setarchidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Stephanoberycidae	Stephanoberycidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Xiphiidae	Xiphiidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Zanclidae	Zanclidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Zeniontidae	Zeniontidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Amiidae	Amiidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Polyodontidae	Polyodontidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Champsodontidae	Champsodontidae	See_Species	Species	Monotypic	No	No	
Family	Microstomatidae	Microstomatidae	See_Species	Species	Monotypic	No	No	
Family	Tetrarogidae	Tetrarogidae	See_Species	Species	Monotypic	No	No	
Family	Bathysauropsidae	Bathysauropsidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Caulophrynidae	Caulophrynidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Congiopodidae	Congiopodidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Cyematidae	Cyematidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Cyttidae	Cyttidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Derichthyidae	Derichthyidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Euclichthyidae	Euclichthyidae	See_Species	Species	Not Examined	No	DNA_Tree	
